"word","wordcount","latitude","longitude","country_code"
"California","12","40.06563000","-79.89171000","US"
"Petersburg","12","40.01172000","-89.84817000","US"
"Cambridge","11","52.20000000","0.11667000","GB"
"Holland","11","30.87824000","-97.40167000","US"
"Cambridge","11","41.30365000","-90.19290000","US"
"Holland","11","42.78752000","-86.10893000","US"
"Cambridge","11","40.28195000","-100.16569000","US"
"Holland","11","18.10358000","-77.80164000","JM"
"Holland","11","42.64117000","-78.54169000","US"
"Holland","11","42.06398000","-72.15730000","US"
"Cambridge","11","43.00361000","-89.01650000","US"
"Cambridge","11","40.03118000","-81.58846000","US"
"Darmstadt","11","38.09921000","-87.57891000","US"
"Cambridge","11","43.36010000","-80.31269000","CA"
"Darmstadt","11","49.87167000","8.65027000","DE"
"Schiers","11","46.96973000","9.68720000","CH"
"Cambridge","11","18.31308000","-77.89546000","JM"
"Cambridge","11","-37.87822000","175.44020000","NZ"
"Cambridge","11","45.57274000","-93.22439000","US"
"Cambridge","11","42.37510000","-71.10561000","US"
"Cambridge","11","-42.83333000","147.45000000","AU"
"Cambridge","11","38.56317000","-76.07883000","US"
"Cambridge","11","43.02813000","-73.38122000","US"
"Cambridge","11","-31.93542000","115.79887000","AU"
"Davos","11","46.80429000","9.83723000","CH"
"Holland","11","41.62172000","-83.71160000","US"
"Zofingen","10","47.28779000","7.94586000","CH"
"Montpellier","10","43.61092000","3.87723000","FR"
"Rochester","9","51.38764000","0.50546000","GB"
"Princeton","9","40.40084000","-93.58050000","US"
"Rochester","9","43.30453000","-70.97562000","US"
"Princeton","9","49.45802000","-120.51076000","CA"
"Rochester","9","40.70229000","-80.28645000","US"
"Rochester","9","41.73177000","-70.82004000","US"
"Princeton","9","40.34872000","-74.65905000","US"
"Berkeley","9","38.75450000","-90.33123000","US"
"Princeton","9","25.53844000","-80.40894000","US"
"Rochester","9","44.02163000","-92.46990000","US"
"Mannheim","9","49.48910000","8.46694000","DE"
"Princeton","9","42.44870000","-71.87730000","US"
"Rochester","9","41.06476000","-86.21583000","US"
"Rochester","9","43.15478000","-77.61556000","US"
"Princeton","9","37.10922000","-87.88196000","US"
"Schwyz","9","47.02076000","8.65414000","CH"
"Princeton","9","33.18012000","-96.49804000","US"
"Princeton","9","37.36623000","-81.10259000","US"
"Berkeley","9","41.88892000","-87.90340000","US"
"Rochester","9","-36.36352000","144.70077000","AU"
"Rostock","9","54.08870000","12.14049000","DE"
"Princeton","9","45.56997000","-93.58163000","US"
"Rochester","9","42.74141000","-88.22426000","US"
"Bellinzona","9","46.19278000","9.01703000","CH"
"Rochester","9","46.82177000","-123.09625000","US"
"Princeton","9","38.35532000","-87.56752000","US"
"Berkeley","9","-34.48333000","150.85000000","AU"
"Princeton","9","43.85081000","-89.12178000","US"
"Rochester","9","42.68059000","-83.13382000","US"
"Princeton","9","41.36809000","-89.46481000","US"
"Berkeley","9","51.69111000","-2.45917000","GB"
"Berkeley","9","37.87159000","-122.27275000","US"
"Princeton","9","35.46599000","-78.16055000","US"
"Rochester","9","39.74949000","-89.53176000","US"
"Aachen","8","50.77664000","6.08342000","DE"
"Montauban","8","44.01819000","1.36432000","FR"
"Trogen","7","47.40782000","9.46498000","CH"
"Columbia","7","40.03371000","-76.50441000","US"
"Columbia","7","34.00071000","-81.03481000","US"
"Bochum","7","-23.28609000","29.13964000","ZA"
"Columbia","7","38.95171000","-92.33407000","US"
"Zug","7","47.17242000","8.51745000","CH"
"Columbia","7","32.10516000","-92.07791000","US"
"Konstanz","7","47.66033000","9.17582000","DE"
"Columbia","7","37.10284000","-85.30635000","US"
"Barth","7","54.36346000","12.72491000","DE"
"Stockholm","7","59.33258000","18.06490000","SE"
"Columbia","7","38.44366000","-90.20122000","US"
"Columbia","7","35.61507000","-87.03528000","US"
"Büren","7","51.55109000","8.55956000","DE"
"Brugg","7","47.48096000","8.20869000","CH"
"Bochum","7","51.48165000","7.21648000","DE"
"Rossi","7","44.00029000","8.05884000","IT"
"Columbia","7","39.24038000","-76.83942000","US"
"Columbia","7","31.25184000","-89.83758000","US"
"Trogen","7","50.36667000","11.95000000","DE"
"Columbia","7","38.03631000","-120.40131000","US"
"Columbia","7","35.91766000","-76.25215000","US"
"Washington","6","38.71345000","-78.15944000","US"
"Washington","6","38.65922000","-87.17279000","US"
"Weimar","6","50.98030000","11.32903000","DE"
"Washington","6","40.75843000","-74.97934000","US"
"Washington","6","41.29918000","-91.69294000","US"
"Washington","6","33.73679000","-82.73931000","US"
"San","6","13.30335000","-4.89562000","ML"
"Leoben","6","47.37650000","15.09144000","AT"
"Baltimore","6","39.84534000","-82.60072000","US"
"Washington","6","41.63148000","-73.31067000","US"
"Roche","6","45.58723000","5.16223000","FR"
"Washington","6","40.70365000","-89.40731000","US"
"Washington","6","37.13054000","-113.50829000","US"
"Baltimore","6","39.29038000","-76.61219000","US"
"Roche","6","50.40808000","-4.83373000","GB"
"Washington","6","40.17396000","-80.24617000","US"
"Langenthal","6","47.21526000","7.79607000","CH"
"Washington","6","39.81806000","-97.05086000","US"
"Washington","6","44.27369000","-69.36727000","US"
"Washington","6","38.55811000","-91.01209000","US"
"Washington","6","54.90000000","-1.51667000","GB"
"Washington","6","35.54655000","-77.05217000","US"
"Washington","6","44.10562000","-72.43260000","US"
"Interlaken","6","46.68387000","7.86638000","CH"
"Utrecht","6","-27.65862000","30.32166000","ZA"
"Oslo","6","59.91273000","10.74609000","NO"
"Interlaken","6","36.95134000","-121.73384000","US"
"Weimar","6","29.70301000","-96.78053000","US"
"Washington","6","39.26119000","-81.67180000","US"
"Kanton","6","-2.81000000","-171.67800000","KI"
"Utrecht","6","52.09083000","5.12222000","NL"
"Angeles","5","15.14718056","120.58473333","PH"
"Madison","5","41.82834000","-97.45505000","US"
"Baden","5","47.47333000","8.30592000","CH"
"Glasgow","5","36.99588000","-85.91192000","US"
"Einsiedeln","5","47.12849000","8.74735000","CH"
"Leiden","5","52.15833000","4.49306000","NL"
"Madison","5","34.69926000","-86.74833000","US"
"Baden","5","48.00543000","16.23264000","AT"
"Groningen","5","53.21917000","6.56667000","NL"
"Madison","5","44.00608000","-97.11395000","US"
"Amsterdam","5","52.37403000","4.88969000","NL"
"Szeged","5","46.25300000","20.14824000","HU"
"Madison","5","38.06705000","-81.81929000","US"
"Madison","5","45.00968000","-96.19588000","US"
"Madison","5","38.38041000","-78.25750000","US"
"Dublin","5","53.33306000","-6.24889000","IE"
"Dublin","5","32.08514000","-98.34199000","US"
"Dublin","5","37.10568000","-80.68534000","US"
"Madison","5","41.77116000","-81.04982000","US"
"Madison","5","36.38542000","-79.95949000","US"
"Glasgow","5","39.22725000","-92.84658000","US"
"Baden","5","47.61734000","-2.91987000","FR"
"Baden","5","40.63507000","-80.22812000","US"
"Madison","5","41.27954000","-72.59843000","US"
"Dublin","5","40.09923000","-83.11408000","US"
"Amsterdam","5","42.93869000","-74.18819000","US"
"Braunschweig","5","52.26594000","10.52673000","DE"
"Saarbrücken","5","49.23262000","7.00982000","DE"
"Münsingen","5","48.41126000","9.49704000","DE"
"Dublin","5","32.54044000","-82.90375000","US"
"Edinburgh","5","55.95206000","-3.19648000","GB"
"Baden","5","38.65928000","-76.77775000","US"
"Glasgow","5","48.19696000","-106.63671000","US"
"Münsingen","5","46.87298000","7.56100000","CH"
"Glasgow","5","39.60483000","-75.74521000","US"
"Regensburg","5","49.01513000","12.10161000","DE"
"Madison","5","43.07305000","-89.40123000","US"
"Dublin","5","42.90758000","-72.06258000","US"
