"prosopid","verwandt","verwandtid"
"4.1.20",Sohn von oP ( Akademie ) Ludwig Carl Friedrich Emmert ( 5. 1. 1 A ),"5.1.1A"
"0.0.88",Vater von oP Johann Rudolf Friedrich Ith ( 4. 1. 006A ),"4.1.006A"
"0.0.8",Vater von Professor Gabriel Blauner ( Nr. 16 ),"0.0.16"
"0.0.16",Sohn von Professor Adrian Blauner ( Nr. 8 ),"0.0.8"
"0.0.27",Schwiegervater von Professor Johannes Hasler ( Nr. 22 ),"0.0.22"
"0.0.22",Schwiegersohn von Professor Hermann Dürholz ( Nr. 27 ),"0.0.27"
"0.0.28",Urgrossvater von Professor Samuel Henzi ( Nr. 46 ),"0.0.46"
"0.0.46",Urenkel von Professor Niklaus Henzi ( Nr. 28 ),"0.0.28"
"0.0.63",Schwiegersohn von Professor David Wyss ( Nr. 45 ),"0.0.45"
"0.0.41",Enkel von Professor Peter Hübner ( Nr. 21 ),"0.0.21"
"0.0.21",Grossvater von Professor Johann Rudolf Hübner ( Nr. 41 ),"0.0.41"
"0.0.88",Schwiegersohn von Professor Johann Rudolf Walt-hard ( Nr. 78 ),"0.0.78"
"0.0.81",Bruder von Professor Jakob Kocher ( Nr. 73 ),"0.0.73"
"0.0.73",Bruder von Professor David Kocher ( Nr. 81 ),"0.0.81"
"0.0.94",Sohn von Professor David Kocher ( Nr. 81 ),"0.0.81"
"4.1.20",Bruder von PD Wilhelm Emmert ( 4. 4. 8 ),"4.4.8"
"3.1.52",Bruder von PD Fritz König ( 4. 4. 82 ),"4.4.82"
"2.1.12",Vater von oP Urs Küry ( 2. 1. 15 ),"2.1.15"
"2.1.15",Sohn von oP Adolf Küry ( 2. 1. 12 ),"2.1.12"
"1.1.20",Bruder von oP Friedrich Ernst Langhans ( 1. 1. 19 ),"1.1.19"
"1.1.19",Bruder von oP Eduard Langhans ( 1. 1. 20 ),"1.1.20"
"3.1.56",Vater von oP Ricarda Liver ( 6. 1. 128 ),"6.1.128"
"6.1.128",Tochter von oP Peter Liver ( 3. 1. 56 ),"3.1.56"
"4.4.74",Sohn von oP Philipp Lotmar ( 3. 1. 33 ),"3.1.33"
"3.1.33",Vater von PD Fritz Lotmar ( 4. 4. 74 ),"4.4.74"
