Dozentennummer;ProsopID;Institution;Fakultaet;Vollname;Nachname;Vorname;Typ;Beschreibung;Von;Bis;Geburt;Tod;Verwandt
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;geburt;geboren;1883-02-06;;1883-02-06;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;tod;gestorben;1965-04-25;;;1965-04-25;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Mittelschulen Witebsk;;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Apothekerlehre in Witebsk;;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Apothekergehilfenprüfung Universität Odessa;;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Studium in Bern;1904-01-01;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Dr. phil. Bern;1910-01-01;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Dr. med. Bern;1922-01-01;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;ausbildung;Schüler von Kostanecki;;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;taetigkeit_vor_Eintritt;Assistent Pharmakologisches Institut Bern;;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;lehrtaetigkeit_unibe;PD phil. - nat. Organ. Chemie bes. Chemie der Fettkörper;1914-01-01;1943-01-01;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;lehrtaetigkeit_unibe;aoPmed. Ernährungslehre und allgemeine Physiologie;1927-01-01;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;lehrtaetigkeit_unibe;oP Medizinische Chemie;1943-01-01;;;;
566;4.1.76;Universität;med.;Abelin Isaak;Abelin;Isaak;austritt_unibe;Ruhestand;1953-01-01;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;geburt;geboren;1935-08-19;;1935-08-19;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;tod;gestorben;;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;ausbildung;Gymnasium in Bern;;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;ausbildung;Studium in Bern und Genf;;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;ausbildung;postgraduate in Zürich ( ETH ) und Harvard / Mass.;;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;ausbildung;Dr. med. Bern;1960-01-01;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;ausbildung;Master of Public Health;1963-01-01;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;ausbildung;Harvard / Mass.;;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;ausbildung;Schüler von E. Grandjean ( ETH Zürich ) und Brian MacMahon ( Harvard / Mass. );;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;taetigkeit_vor_Eintritt;Associate Professor of Epidemiology and Behavioral Sciences Harvard / Mass.;;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;lehrtaetigkeit_unibe;oP Sozial-und Präventivmedizin;1971-01-01;;;;
617;4.1.127;Universität;med.;Abelin Theodor;Abelin;Theodor;austritt_unibe;-;;;;;
279;3.1.20;Universität;jurist.;Acollas Emil;Acollas;Emil;geburt;geboren;;;;;
279;3.1.20;Universität;jurist.;Acollas Emil;Acollas;Emil;tod;gestorben;;;;;
279;3.1.20;Universität;jurist.;Acollas Emil;Acollas;Emil;taetigkeit_vor_Eintritt;Advokat in Paris;;;;;
279;3.1.20;Universität;jurist.;Acollas Emil;Acollas;Emil;taetigkeit_vor_Eintritt;Repetitor an der Rechtsschule von Paris;;;;;
279;3.1.20;Universität;jurist.;Acollas Emil;Acollas;Emil;lehrtaetigkeit_unibe;oP Französisches Zivilrecht;1870-01-01;;;;
279;3.1.20;Universität;jurist.;Acollas Emil;Acollas;Emil;austritt_unibe;Demission;1871-01-01;;;;
980;4.4.158;Universität;med.;Adler Rolf Hermann;Adler;Rolf Hermann;geburt;geboren;1936-02-19;;1936-02-19;;
980;4.4.158;Universität;med.;Adler Rolf Hermann;Adler;Rolf Hermann;tod;gestorben;;;;;
980;4.4.158;Universität;med.;Adler Rolf Hermann;Adler;Rolf Hermann;ausbildung;Gymnasium in Bern;;;;;
980;4.4.158;Universität;med.;Adler Rolf Hermann;Adler;Rolf Hermann;ausbildung;Studium in Bern;;;;;
980;4.4.158;Universität;med.;Adler Rolf Hermann;Adler;Rolf Hermann;ausbildung;Dr. med. Bern;1962-01-01;;;;
980;4.4.158;Universität;med.;Adler Rolf Hermann;Adler;Rolf Hermann;taetigkeit_vor_Eintritt;Instructor in Psychiatry and Medicine of Rochester N. Y. Oberarzt Bern;;;;;
980;4.4.158;Universität;med.;Adler Rolf Hermann;Adler;Rolf Hermann;lehrtaetigkeit_unibe;PD Innere Medizin bes. Psychosomatik;1975-01-01;;;;
980;4.4.158;Universität;med.;Adler Rolf Hermann;Adler;Rolf Hermann;austritt_unibe;-;;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;geburt;geboren;1934-01-28;;1934-01-28;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;tod;gestorben;;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;ausbildung;Kantonsschule Zug;;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;ausbildung;Studium in Zürich und Montpellier;;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;ausbildung;Staatsexamen Zürich;1959-01-01;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;ausbildung;Dr. med. Zürich;1960-01-01;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;taetigkeit_vor_Eintritt;Assistent Bezirksspital Affoltern a. A. und Zürich;;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;taetigkeit_vor_Eintritt;Oberarzt Chur;;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;taetigkeit_vor_Eintritt;Research Fellow Dept. of Surgery Western Infirmary Glasgow;;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;taetigkeit_vor_Eintritt;Oberarzt Neumünster / Zollikerberg;;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;lehrtaetigkeit_unibe;PD Chirurgie;1977-01-01;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;lehrtaetigkeit_unibe;aoP;1982-01-01;;;;
776;4.2.126;Universität;med.;Aeberhard Peter Fritz;Aeberhard;Peter Fritz;austritt_unibe;-;;;;;
1593;7.3.10;Universität;phil.-nat.;Aebi Franz Martin;Aebi;Franz Martin;geburt;geboren;1916-11-11;;1916-11-11;;
1593;7.3.10;Universität;phil.-nat.;Aebi Franz Martin;Aebi;Franz Martin;tod;gestorben;;;;;
1593;7.3.10;Universität;phil.-nat.;Aebi Franz Martin;Aebi;Franz Martin;ausbildung;Lehrerseminar Hofwil / BE;;;;;
1593;7.3.10;Universität;phil.-nat.;Aebi Franz Martin;Aebi;Franz Martin;ausbildung;Studium in Bern und Uppsala / Schweden;;;;;
1593;7.3.10;Universität;phil.-nat.;Aebi Franz Martin;Aebi;Franz Martin;ausbildung;Dr. phil. Bern;1946-01-01;;;;
1593;7.3.10;Universität;phil.-nat.;Aebi Franz Martin;Aebi;Franz Martin;ausbildung;Schüler von Feitknecht ( Bern ) Hägg ( Uppsala );;;;;
1593;7.3.10;Universität;phil.-nat.;Aebi Franz Martin;Aebi;Franz Martin;lehrtaetigkeit_unibe;PD Angewandte anorganische Chemie bes. Werkstofflehre;1654-01-01;;;;
1593;7.3.10;Universität;phil.-nat.;Aebi Franz Martin;Aebi;Franz Martin;lehrtaetigkeit_unibe;HonP;1963-01-01;;;;
1593;7.3.10;Universität;phil.-nat.;Aebi Franz Martin;Aebi;Franz Martin;austritt_unibe;-;;;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;geburt;geboren;1921-04-29;;1921-04-29;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;tod;gestorben;1983-07-15;;;1983-07-15;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;ausbildung;Gymnasium in Basel;;;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;ausbildung;Studium in Basel;;;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;ausbildung;Staatsexamen;1945-01-01;;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;ausbildung;Dr. med. Basel;1945-01-01;;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;ausbildung;Schüler von Edlbacher Abelin von Muralt;;;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;taetigkeit_vor_Eintritt;Assistent Basel;;;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;taetigkeit_vor_Eintritt;Oberassistent Bern;;;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;lehrtaetigkeit_unibe;PD Physiologische Chemie;1952-01-01;;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;lehrtaetigkeit_unibe;oP Biochemie;1954-01-01;;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;akad_aemter_unibe;Dekan;1961-01-01;1963-01-01;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;akad_aemter_unibe;Rektor;1970-01-01;1971-01-01;;;
576;4.1.86;Universität;med.;Aebi Hugo Ernst;Aebi;Hugo Ernst;austritt_unibe;Tod;1983-01-01;;;;
1326;6.4.12;Universität;phil.-hist.;Aebi Joseph Wilhelm Ludwig;Aebi;Joseph Wilhelm Ludwig;geburt;geboren;1802-11-18;;1802-11-18;;
1326;6.4.12;Universität;phil.-hist.;Aebi Joseph Wilhelm Ludwig;Aebi;Joseph Wilhelm Ludwig;tod;gestorben;1881-09-01;;;1881-09-01;
1326;6.4.12;Universität;phil.-hist.;Aebi Joseph Wilhelm Ludwig;Aebi;Joseph Wilhelm Ludwig;ausbildung;Gymnasium Luzern;;;;;
1326;6.4.12;Universität;phil.-hist.;Aebi Joseph Wilhelm Ludwig;Aebi;Joseph Wilhelm Ludwig;ausbildung;Anfängliches Studium der Theologie dann Studium an der philos. Fakultät ( keine Angaben über Universität );;;;;
1326;6.4.12;Universität;phil.-hist.;Aebi Joseph Wilhelm Ludwig;Aebi;Joseph Wilhelm Ludwig;taetigkeit_vor_Eintritt;Lehrer am Höheren Gymnasium Bern;1834-01-01;;;;
1326;6.4.12;Universität;phil.-hist.;Aebi Joseph Wilhelm Ludwig;Aebi;Joseph Wilhelm Ludwig;taetigkeit_vor_Eintritt;vorher Lehrer Gymnasium Luzern;;;;;
1326;6.4.12;Universität;phil.-hist.;Aebi Joseph Wilhelm Ludwig;Aebi;Joseph Wilhelm Ludwig;lehrtaetigkeit_unibe;PD Geschichte und Philologie;1835-01-01;;;;
1326;6.4.12;Universität;phil.-hist.;Aebi Joseph Wilhelm Ludwig;Aebi;Joseph Wilhelm Ludwig;austritt_unibe;Lehrer an der Kantonsschule Aarau;1835-01-01;;;;
1326;6.4.12;Universität;phil.-hist.;Aebi Joseph Wilhelm Ludwig;Aebi;Joseph Wilhelm Ludwig;taetigkeit_nach_austritt;Kantonsschullehrer Aarau;;;;;
1326;6.4.12;Universität;phil.-hist.;Aebi Joseph Wilhelm Ludwig;Aebi;Joseph Wilhelm Ludwig;taetigkeit_nach_austritt;später Pfarrer;;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;geburt;geboren;1923-08-06;;1923-08-06;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;tod;gestorben;;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;ausbildung;Unterseminar Küsnacht;;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;ausbildung;ZH Studium in Genf und Minnesota / USA;;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;ausbildung;Master of Arts Minnesota;1950-01-01;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;ausbildung;Dr. en philosophie Genf;1951-01-01;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;ausbildung;Schüler von J. Piaget und J. E. Anderson;;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;taetigkeit_vor_Eintritt;Oberseminar Zürich;1950-01-01;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;taetigkeit_vor_Eintritt;Gastprofessor Universität des Saarlandes;1955-01-01;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;taetigkeit_vor_Eintritt;Oberseminar Zürich;1957-01-01;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;taetigkeit_vor_Eintritt;PD Zürich;1961-01-01;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;taetigkeit_vor_Eintritt;aoP FU Berlin;1962-01-01;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;taetigkeit_vor_Eintritt;oP FU Berlin;1964-01-01;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;taetigkeit_vor_Eintritt;oP Konstanz;1966-01-01;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;lehrtaetigkeit_unibe;oP Pädagogische Psychologie und Pädagogik;1971-01-01;;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;akad_aemter_unibe;Dekan;1975-01-01;1976-01-01;;;
1210;6.1.100;Universität;phil.-hist.;Aebli Hans;Aebli;Hans;austritt_unibe;-;;;;;
1628;7.4.15;Universität;phil.-nat.;Aeby Carl;Aeby;Carl;geburt;geboren;;;;;
1628;7.4.15;Universität;phil.-nat.;Aeby Carl;Aeby;Carl;tod;gestorben;;;;;
1628;7.4.15;Universität;phil.-nat.;Aeby Carl;Aeby;Carl;ausbildung;Dr. phil. Bern;;;;;
1628;7.4.15;Universität;phil.-nat.;Aeby Carl;Aeby;Carl;lehrtaetigkeit_unibe;PD Chemie;1871-01-01;;;;
1628;7.4.15;Universität;phil.-nat.;Aeby Carl;Aeby;Carl;austritt_unibe;;1874-01-01;;;;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;geburt;geboren;1835-02-25;;1835-02-25;;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;tod;gestorben;1885-07-07;;;1885-07-07;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;ausbildung;Pädagogium Basel;;;;;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;ausbildung;Studium in Basel Göttingen;;;;;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;ausbildung;Dr. med. Basel;1858-01-01;;;;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;taetigkeit_vor_Eintritt;PD Basel;1858-01-01;;;;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;taetigkeit_vor_Eintritt;aoP Basel;1863-01-01;;;;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;lehrtaetigkeit_unibe;oP Anatomie und vergleichende Anatomie;1863-01-01;;;;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;akad_aemter_unibe;Dekan;1867-01-01;1869-01-01;;;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;akad_aemter_unibe;Rektor;1866-01-01;1867-01-01;;;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;austritt_unibe;oP Prag;1884-01-01;;;;
509;4.1.19;Universität;med.;Aeby Christoph Theodor;Aeby;Christoph Theodor;taetigkeit_nach_austritt;oP Prag bis Tod;;;;;
1078;5.2.5;Universität;med.-vet.;Aellig Anton;Aellig;Anton;geburt;geboren;1898-04-29;;1898-04-29;;
1078;5.2.5;Universität;med.-vet.;Aellig Anton;Aellig;Anton;tod;gestorben;1931-11-12;;;1931-11-12;
1078;5.2.5;Universität;med.-vet.;Aellig Anton;Aellig;Anton;ausbildung;Gymnasium Burgdorf;;;;;
1078;5.2.5;Universität;med.-vet.;Aellig Anton;Aellig;Anton;ausbildung;Studium in Bern;;;;;
1078;5.2.5;Universität;med.-vet.;Aellig Anton;Aellig;Anton;ausbildung;Staatsexamen Bern;1922-01-01;;;;
1078;5.2.5;Universität;med.-vet.;Aellig Anton;Aellig;Anton;ausbildung;Dr. med. vet. Bern;1923-01-01;;;;
1078;5.2.5;Universität;med.-vet.;Aellig Anton;Aellig;Anton;ausbildung;Schüler von Noyer;;;;;
1078;5.2.5;Universität;med.-vet.;Aellig Anton;Aellig;Anton;taetigkeit_vor_Eintritt;Assistent Bern;;;;;
1078;5.2.5;Universität;med.-vet.;Aellig Anton;Aellig;Anton;lehrtaetigkeit_unibe;PD Innere Tiermedizin;1925-01-01;;;;
1078;5.2.5;Universität;med.-vet.;Aellig Anton;Aellig;Anton;lehrtaetigkeit_unibe;aoP Krankheiten der kleinen Haustiere;1926-01-01;;;;
1078;5.2.5;Universität;med.-vet.;Aellig Anton;Aellig;Anton;austritt_unibe;Tod;1931-01-01;;;;
716;4.2.66;Universität;med.;Aepli Robert;Aepli;Robert;geburt;geboren;1930-11-06;;1930-11-06;;
716;4.2.66;Universität;med.;Aepli Robert;Aepli;Robert;tod;gestorben;;;;;
716;4.2.66;Universität;med.;Aepli Robert;Aepli;Robert;ausbildung;Gymnasium in Lausanne;;;;;
716;4.2.66;Universität;med.;Aepli Robert;Aepli;Robert;ausbildung;Studium in Lausanne Paris Wien;;;;;
716;4.2.66;Universität;med.;Aepli Robert;Aepli;Robert;ausbildung;Staatsexamen Lausanne;1956-01-01;;;;
716;4.2.66;Universität;med.;Aepli Robert;Aepli;Robert;ausbildung;Dr. med. Lausanne;1957-01-01;;;;
716;4.2.66;Universität;med.;Aepli Robert;Aepli;Robert;taetigkeit_vor_Eintritt;Assistent Lausanne;;;;;
716;4.2.66;Universität;med.;Aepli Robert;Aepli;Robert;lehrtaetigkeit_unibe;PD Innere Medizin;1967-01-01;;;;
716;4.2.66;Universität;med.;Aepli Robert;Aepli;Robert;lehrtaetigkeit_unibe;aoP;1971-01-01;;;;
716;4.2.66;Universität;med.;Aepli Robert;Aepli;Robert;austritt_unibe;-;;;;;
1574;7.2.46;Universität;phil.-nat.;Aerni Klaus Martin;Aerni;Klaus Martin;geburt;geboren;1932-07-27;;1932-07-27;;
1574;7.2.46;Universität;phil.-nat.;Aerni Klaus Martin;Aerni;Klaus Martin;tod;gestorben;;;;;
1574;7.2.46;Universität;phil.-nat.;Aerni Klaus Martin;Aerni;Klaus Martin;ausbildung;Lehrerseminar Hofwil;;;;;
1574;7.2.46;Universität;phil.-nat.;Aerni Klaus Martin;Aerni;Klaus Martin;ausbildung;BE Studium in Bern und Sorbonne / Paris;;;;;
1574;7.2.46;Universität;phil.-nat.;Aerni Klaus Martin;Aerni;Klaus Martin;ausbildung;Diplom HLA Bern;1961-01-01;;;;
1574;7.2.46;Universität;phil.-nat.;Aerni Klaus Martin;Aerni;Klaus Martin;ausbildung;Dr. phil. Bern;1969-01-01;;;;
1574;7.2.46;Universität;phil.-nat.;Aerni Klaus Martin;Aerni;Klaus Martin;ausbildung;Schüler von F. Gygax G. Grosjean H. von Greyerz E. Walder;;;;;
1574;7.2.46;Universität;phil.-nat.;Aerni Klaus Martin;Aerni;Klaus Martin;taetigkeit_vor_Eintritt;Fachlehrer Lehrerseminar Hofwil;1961-01-01;;;;
1574;7.2.46;Universität;phil.-nat.;Aerni Klaus Martin;Aerni;Klaus Martin;lehrtaetigkeit_unibe;PD Geographie bes. Kultur-und Wirtschaftsgeographie;1972-01-01;;;;
1574;7.2.46;Universität;phil.-nat.;Aerni Klaus Martin;Aerni;Klaus Martin;lehrtaetigkeit_unibe;aoP Fachdidaktik der Geographie und Teile der Regionalgeographie;1978-01-01;;;;
1574;7.2.46;Universität;phil.-nat.;Aerni Klaus Martin;Aerni;Klaus Martin;austritt_unibe;-;;;;;
223;1.3.6;Universität;evang.-theol.;Aeschbacher Gerhard;Aeschbacher;Gerhard;geburt;geboren;1917-04-12;;1917-04-12;;
223;1.3.6;Universität;evang.-theol.;Aeschbacher Gerhard;Aeschbacher;Gerhard;tod;gestorben;;;;;
223;1.3.6;Universität;evang.-theol.;Aeschbacher Gerhard;Aeschbacher;Gerhard;ausbildung;Studium in Bern Klavier-und Orgelstudium in Bern und Paris;;;;;
223;1.3.6;Universität;evang.-theol.;Aeschbacher Gerhard;Aeschbacher;Gerhard;ausbildung;Sekundarlehrerdiplom BE Lehr-und Konzertdiplom;1941-01-01;;;;
223;1.3.6;Universität;evang.-theol.;Aeschbacher Gerhard;Aeschbacher;Gerhard;taetigkeit_vor_Eintritt;Musiklehrer staatl. Seminar Bern;;;;;
223;1.3.6;Universität;evang.-theol.;Aeschbacher Gerhard;Aeschbacher;Gerhard;lehrtaetigkeit_unibe;Lektor ev. - theol. Theoretische und praktische Kirchenmusik;1966-01-01;;;;
223;1.3.6;Universität;evang.-theol.;Aeschbacher Gerhard;Aeschbacher;Gerhard;lehrtaetigkeit_unibe;Lehrauftrag phil. - hist. ( nebst Lektorat );1970-01-01;;;;
223;1.3.6;Universität;evang.-theol.;Aeschbacher Gerhard;Aeschbacher;Gerhard;lehrtaetigkeit_unibe;Propädeutische Kurse für Musikwissenschaft;;;;;
223;1.3.6;Universität;evang.-theol.;Aeschbacher Gerhard;Aeschbacher;Gerhard;lehrtaetigkeit_unibe;HonP ev. - theol.;1972-01-01;;;;
223;1.3.6;Universität;evang.-theol.;Aeschbacher Gerhard;Aeschbacher;Gerhard;austritt_unibe;-;;;;;
1404;6.4.90;Universität;phil.-hist.;Alberti Luciano;Alberti;Luciano;geburt;geboren;1942-03-07;;1942-03-07;;
1404;6.4.90;Universität;phil.-hist.;Alberti Luciano;Alberti;Luciano;tod;gestorben;;;;;
1404;6.4.90;Universität;phil.-hist.;Alberti Luciano;Alberti;Luciano;ausbildung;Lehrerseminar Locarno;;;;;
1404;6.4.90;Universität;phil.-hist.;Alberti Luciano;Alberti;Luciano;ausbildung;Studium in Hamburg und Bern;;;;;
1404;6.4.90;Universität;phil.-hist.;Alberti Luciano;Alberti;Luciano;ausbildung;Dr. phil. Bern;1969-01-01;;;;
1404;6.4.90;Universität;phil.-hist.;Alberti Luciano;Alberti;Luciano;ausbildung;Schüler von Foppa;;;;;
1404;6.4.90;Universität;phil.-hist.;Alberti Luciano;Alberti;Luciano;taetigkeit_vor_Eintritt;Klinischer Psychologe in Lugano;;;;;
1404;6.4.90;Universität;phil.-hist.;Alberti Luciano;Alberti;Luciano;lehrtaetigkeit_unibe;Lektor Diagnostische Übungen;1970-01-01;;;;
1404;6.4.90;Universität;phil.-hist.;Alberti Luciano;Alberti;Luciano;lehrtaetigkeit_unibe;PD Psychologie;1978-01-01;;;;
1404;6.4.90;Universität;phil.-hist.;Alberti Luciano;Alberti;Luciano;austritt_unibe;-;;;;;
439;3.3.10;Universität;jurist.;Albisetti Emilio;Albisetti;Emilio;geburt;geboren;1909-03-20;;1909-03-20;;
439;3.3.10;Universität;jurist.;Albisetti Emilio;Albisetti;Emilio;tod;gestorben;;;;;
439;3.3.10;Universität;jurist.;Albisetti Emilio;Albisetti;Emilio;ausbildung;Gymnasium in Bern;;;;;
439;3.3.10;Universität;jurist.;Albisetti Emilio;Albisetti;Emilio;ausbildung;Studium in Bern und Rom;;;;;
439;3.3.10;Universität;jurist.;Albisetti Emilio;Albisetti;Emilio;ausbildung;Fürsprecher Bern;1933-01-01;;;;
439;3.3.10;Universität;jurist.;Albisetti Emilio;Albisetti;Emilio;ausbildung;Dr. jur. Bern Schüler von F. Marbach;1934-01-01;;;;
439;3.3.10;Universität;jurist.;Albisetti Emilio;Albisetti;Emilio;taetigkeit_vor_Eintritt;Bankdirektor;;;;;
439;3.3.10;Universität;jurist.;Albisetti Emilio;Albisetti;Emilio;lehrtaetigkeit_unibe;Lehrauftrag Bankwesen und Bankpolitik;1952-01-01;;;;
439;3.3.10;Universität;jurist.;Albisetti Emilio;Albisetti;Emilio;lehrtaetigkeit_unibe;HonP;1963-01-01;;;;
439;3.3.10;Universität;jurist.;Albisetti Emilio;Albisetti;Emilio;austritt_unibe;Ruhestand;1978-01-01;;;;
857;4.4.35;Universität;med.;Albrecht Hermann;Albrecht;Hermann;geburt;geboren;1847-07-24;;1847-07-24;;
857;4.4.35;Universität;med.;Albrecht Hermann;Albrecht;Hermann;tod;gestorben;1899-03-05;;;1899-03-05;
857;4.4.35;Universität;med.;Albrecht Hermann;Albrecht;Hermann;ausbildung;Studium in Zürich Tübingen Heidelberg Bern Wien Prag Paris;;;;;
857;4.4.35;Universität;med.;Albrecht Hermann;Albrecht;Hermann;ausbildung;Dr. med.;1876-01-01;;;;
857;4.4.35;Universität;med.;Albrecht Hermann;Albrecht;Hermann;taetigkeit_vor_Eintritt;Arzt in Neuenburg;1877-01-01;;;;
857;4.4.35;Universität;med.;Albrecht Hermann;Albrecht;Hermann;lehrtaetigkeit_unibe;PD Kinderkrankheiten;1877-01-01;;;;
857;4.4.35;Universität;med.;Albrecht Hermann;Albrecht;Hermann;lehrtaetigkeit_unibe;bes. chirurgischer Teil;;;;;
857;4.4.35;Universität;med.;Albrecht Hermann;Albrecht;Hermann;austritt_unibe;;1893-01-01;;;;
259;2.1.17;Universität;christkath.-theol.;Aldenhoven Herwig Günter Otto;Aldenhoven;Herwig Günter Otto;geburt;geboren;1933-09-07;;1933-09-07;;
259;2.1.17;Universität;christkath.-theol.;Aldenhoven Herwig Günter Otto;Aldenhoven;Herwig Günter Otto;tod;gestorben;;;;;
259;2.1.17;Universität;christkath.-theol.;Aldenhoven Herwig Günter Otto;Aldenhoven;Herwig Günter Otto;ausbildung;Gymnasium in Wien Studium in Wien und Bern;;;;;
259;2.1.17;Universität;christkath.-theol.;Aldenhoven Herwig Günter Otto;Aldenhoven;Herwig Günter Otto;ausbildung;Theologisches Staatsexamen Bern;1959-01-01;;;;
259;2.1.17;Universität;christkath.-theol.;Aldenhoven Herwig Günter Otto;Aldenhoven;Herwig Günter Otto;ausbildung;Dr. theol. Bern;1971-01-01;;;;
259;2.1.17;Universität;christkath.-theol.;Aldenhoven Herwig Günter Otto;Aldenhoven;Herwig Günter Otto;ausbildung;Schüler von U. Küry A. E. Rüthy A. Gilg E. Gaugier G. Widmer;;;;;
